,root,d+,d-
GO:0002884,10,3,3
GO:1990408,7,1,0
GO:0030259,6,2,0
GO:0033260,10,1,9
GO:2000878,8,3,1
GO:0046631,6,1,9
GO:0009299,9,2,1
GO:0043606,4,2,1
GO:0090166,7,3,0
GO:0044848,1,1,2
GO:0086030,10,2,0
GO:0043465,6,2,2
GO:1905475,6,2,12
GO:0042760,9,2,1
GO:0046600,12,4,0
GO:1900003,9,2,2
GO:0009636,3,1,6
GO:0006910,7,2,2
GO:1903899,10,3,0
GO:0003205,7,2,5
GO:0001696,6,2,3
GO:0072181,13,3,0
GO:0018008,10,2,0
GO:0070495,8,3,0
GO:0008344,4,2,2
GO:0060875,8,1,0
GO:1903312,9,3,3
GO:0060768,9,2,2
GO:0072576,7,2,1
GO:0043491,7,1,3
GO:1904037,7,3,5
GO:0018345,8,2,2
GO:0021955,13,2,3
GO:0032804,8,4,0
GO:0030225,8,2,4
GO:0035905,10,2,1
GO:0015826,7,3,0
GO:0019244,9,2,0
GO:0007548,3,1,4
GO:2001012,6,2,1
GO:1900141,7,2,2
GO:1900826,8,3,0
GO:0046318,12,3,0
GO:0019471,7,5,2
GO:0070637,7,2,2
GO:0035999,7,2,0
GO:0046203,8,2,0
GO:0001539,3,1,1
GO:0060165,11,2,0
GO:0061152,7,2,1
GO:0098658,7,2,0
GO:0008292,5,2,0
GO:0048026,13,4,0
GO:0046294,7,4,0
GO:0051123,11,2,3
GO:0010002,8,2,4
GO:0036416,12,3,0
GO:0048641,7,2,2
GO:0060151,3,1,1
GO:0007369,6,1,9
GO:0043550,9,1,4
GO:1905155,7,3,1
GO:0061369,10,1,0
GO:0032731,11,3,0
GO:0090461,5,1,0
GO:1904528,6,2,0
GO:1905075,9,3,0
GO:0110110,6,4,6
GO:0071965,3,2,0
GO:0060068,9,1,0
GO:0019518,11,2,0
GO:2000388,12,4,0
GO:0061441,10,2,0
GO:0031204,10,2,0
GO:0051584,11,2,2
GO:0070723,6,2,1
GO:0071394,6,4,2
GO:0051654,4,2,2
GO:0097403,6,2,0
GO:0085020,11,1,0
GO:1990928,6,1,1
GO:1900721,9,3,0
GO:0090266,14,6,2
GO:0051054,8,4,14
GO:0034439,8,2,2
GO:0006325,6,1,12
GO:0072594,6,2,10
GO:0005976,4,2,5
GO:0051938,8,3,2
GO:0061349,11,2,0
GO:1903765,11,3,0
GO:0010614,8,3,2
GO:0014850,3,1,1
GO:0030704,8,4,0
GO:0051205,7,3,4
GO:0071910,8,2,0
GO:0001100,10,3,0
GO:0046080,11,2,1
GO:0051659,5,2,0
GO:1901989,7,3,6
GO:0008348,9,6,1
GO:1903004,11,2,1
GO:0003407,10,2,5
GO:0010814,6,3,0
GO:0045835,9,5,1
GO:0060550,11,2,0
GO:0060414,11,3,0
GO:2000098,8,3,0
GO:0097205,4,1,1
GO:0005985,6,1,2
GO:0061772,5,1,0
GO:1905672,9,3,0
GO:0072053,7,2,0
GO:0035745,10,2,3
GO:0071104,5,1,1
GO:0098795,10,1,0
GO:1905805,7,1,0
GO:0035513,8,2,0
GO:0033385,7,2,2
GO:1905404,10,3,0
GO:0021985,11,2,0
GO:0080164,5,2,3
GO:2001280,11,3,1
GO:0045046,8,4,0
GO:1904603,7,1,1
GO:0010468,7,2,21
GO:1905288,7,1,3
GO:0031112,9,3,2
GO:0070158,12,2,0
GO:0021538,10,2,1
GO:0035351,11,2,0
GO:0070946,10,2,0
GO:1902423,11,4,2
GO:1903184,8,4,1
GO:0008063,6,1,2
GO:0099518,6,2,4
GO:0072124,12,2,3
GO:0001573,8,2,2
GO:0051896,8,2,2
GO:0036444,10,2,2
GO:0015835,6,2,0
GO:0002711,8,4,5
GO:0003214,10,1,2
GO:0035983,5,4,1
GO:0000070,8,3,9
GO:0099188,7,2,2
GO:1902744,8,3,2
GO:0008214,6,1,1
GO:1903721,10,3,0
GO:0042167,7,3,0
GO:0042415,7,1,1
GO:0008104,4,1,28
GO:1904393,9,2,2
GO:0140895,14,1,4
GO:0046094,9,1,1
GO:0031573,12,1,0
GO:0007167,6,1,5
GO:1900076,8,3,2
GO:0061217,8,2,1
GO:0090357,8,2,1
GO:0051231,8,4,3
GO:0035984,6,5,0
GO:0002660,10,3,2
GO:0051563,8,1,0
GO:0070234,9,3,3
GO:0060474,10,3,0
GO:1903378,10,4,0
GO:0009093,8,3,1
GO:0045088,8,5,10
GO:0150145,9,3,0
GO:0007281,5,4,5
GO:0043558,11,2,5
GO:0060245,4,1,1
GO:1902170,5,1,1
GO:0002277,6,2,0
GO:1903919,6,3,0
GO:0007339,6,1,2
GO:0048593,9,2,7
GO:0019566,6,1,1
GO:0002923,9,3,3
GO:0097086,6,1,2
GO:2001186,10,3,2
GO:0006418,10,2,21
GO:0048585,4,3,20
GO:1901293,7,3,5
GO:0043012,8,4,0
GO:0048311,6,2,2
GO:1905634,8,2,3
GO:0050482,11,2,3
GO:0002188,9,1,0
GO:0018009,10,2,0
GO:0048808,9,3,0
GO:0006104,11,1,3
GO:0140290,7,1,0
GO:0003250,10,2,2
GO:0071621,7,2,5
GO:2000349,8,3,0
GO:0046814,7,1,0
GO:0045602,8,3,2
GO:0051445,5,3,3
GO:0019054,6,1,3
GO:0044725,10,1,2
GO:0010640,9,2,4
GO:0009629,3,1,2
GO:1904464,9,2,2
GO:1905025,12,3,0
GO:0097477,11,1,2
GO:0015931,5,2,7
GO:0072160,10,2,4
GO:0071626,4,1,0
GO:0070981,11,3,0
GO:0070949,9,7,3
GO:0009398,10,4,0
GO:0034757,10,3,1
GO:0032974,7,2,1
GO:0046425,8,2,3
GO:0060525,8,3,3
GO:2000527,9,2,1
GO:0010975,11,2,7
GO:0051666,3,1,0
GO:0006040,4,1,8
GO:0001988,11,2,0
GO:1904118,10,3,1
GO:0036462,8,1,3
GO:0021758,12,2,0
GO:0048513,3,1,32
GO:2000284,8,4,1
GO:0032364,4,1,0
GO:1901491,11,3,0
GO:0061073,10,2,0
GO:0000708,9,2,1
GO:0097022,8,1,0
GO:0043328,10,4,0
GO:0000724,9,2,6
GO:0097293,11,3,1
GO:0010817,3,1,5
GO:1903804,9,3,2
GO:0060081,4,1,2
GO:2001225,7,2,2
GO:0060143,8,4,2
GO:0010868,10,5,0
GO:0003183,10,2,1
GO:0016485,7,2,14
GO:0009123,7,1,7
GO:0035290,8,2,1
GO:1903083,7,1,1
GO:0033624,8,3,0
GO:0035874,7,2,0
GO:0003169,10,2,0
